"Dates","Open","High","Low","Close","Volume","Adjusted","daily.returns","year","Dividend","div_yield","div_yield_percentage","sd_returns","volatility","volatility_avg"
2000-01-03,0.93638402223587,1.00446403026581,0.907923996448517,0.999441981315613,535796800,0.844003975391388,0.0673419853204826,2000,NA,NA,NA,0.0550118568570837,0.87328615442236,0.369143273301907
2000-01-04,0.966517984867096,0.987722992897034,0.903460025787354,0.915179014205933,512377600,0.772845983505249,-0.0843100136725904,2000,NA,NA,NA,0.0550118568570837,0.87328615442236,0.369143273301907
2000-01-05,0.926338970661163,0.987164974212646,0.919642984867096,0.928570985794067,778321600,0.784155309200287,0.0146331716311858,2000,NA,NA,NA,0.0550118568570837,0.87328615442236,0.369143273301907
2000-01-06,0.947544991970062,0.955357015132904,0.848213970661163,0.848213970661163,767972800,0.716295599937439,-0.0865383652539895,2000,NA,NA,NA,0.0550118568570837,0.87328615442236,0.369143273301907
2000-01-07,0.861607015132904,0.901786029338837,0.852679014205933,0.888392984867096,460734400,0.750225901603699,0.0473689606581391,2000,NA,NA,NA,0.0550118568570837,0.87328615442236,0.369143273301907
2000-01-10,0.910713970661163,0.912945985794067,0.845982015132904,0.872767984867096,505064000,0.737031102180481,-0.0175879371698748,2000,NA,NA,NA,0.0550118568570837,0.87328615442236,0.369143273301907
2000-01-11,0.856585025787354,0.887277007102966,0.808036029338837,0.828125,441548800,0.699330985546112,-0.0511510339989089,2000,NA,NA,NA,0.0550118568570837,0.87328615442236,0.369143273301907
2000-01-12,0.848213970661163,0.852679014205933,0.772320985794067,0.778460025787354,976068800,0.657390177249908,-0.0599727990492335,2000,NA,NA,NA,0.0550118568570837,0.87328615442236,0.369143273301907
2000-01-13,0.843609988689423,0.881695985794067,0.825892984867096,0.863838970661163,1032684800,0.729490756988525,0.109676723332653,2000,NA,NA,NA,0.0550118568570837,0.87328615442236,0.369143273301907
2000-01-14,0.892857015132904,0.912945985794067,0.887277007102966,0.896763026714325,390376000,0.757294356822968,0.0381136498483765,2000,NA,NA,NA,0.0550118568570837,0.87328615442236,0.369143273301907
2000-01-18,0.901786029338837,0.946429014205933,0.896763026714325,0.928013026714325,459177600,0.783684015274048,0.0348475562317703,2000,NA,NA,NA,0.0550118568570837,0.87328615442236,0.369143273301907
2000-01-19,0.943080008029938,0.970982015132904,0.92299097776413,0.951451003551483,597643200,0.803476691246033,0.0252560860273066,2000,NA,NA,NA,0.0550118568570837,0.87328615442236,0.369143273301907
2000-01-20,1.03125,1.08482098579407,1.01339304447174,1.01339304447174,1831132800,0.855785489082336,0.0651027122668917,2000,NA,NA,NA,0.0550118568570837,0.87328615442236,0.369143273301907
2000-01-21,1.02008903026581,1.02008903026581,0.983816981315613,0.993861973285675,495924800,0.839291751384735,-0.0192729477398839,2000,NA,NA,NA,0.0550118568570837,0.87328615442236,0.369143273301907
2000-01-24,0.968191981315613,1.00669598579407,0.93861597776413,0.948661029338837,440876800,0.801120698451996,-0.0454801020280569,2000,NA,NA,NA,0.0550118568570837,0.87328615442236,0.369143273301907
2000-01-25,0.9375,1.01004505157471,0.914062976837158,1.00223195552826,497145600,0.846360087394714,0.0564700399116833,2000,NA,NA,NA,0.0550118568570837,0.87328615442236,0.369143273301907
2000-01-26,0.982142984867096,1.01953101158142,0.979911029338837,0.983816981315613,367158400,0.83080917596817,-0.0183739643413587,2000,NA,NA,NA,0.0550118568570837,0.87328615442236,0.369143273301907
